distance,radeg,raerr,decl,decerr,RHJD,Airmass,Vphot,BVphot,UBphot,VRphot,RIphot,VIphot,Usat,Bsat,Vsat,Rsat,Isat,V,eV,B-V,eB-V,U-B,eU-B,V-R,eV-R,R-I,eR-I,V-I,eV-I,Vzero,BVzero,UBzero,VRzero,RIzero,VIzero,fieldID,source
1.9,47.0428305,0,40.9559575,0,55883.9151,1.322,0,0,0,0,0,0,0,0,0,0,0,2.134,0.001,0.028,0.001,99.999,9.999,-0.025,0.001,0.037,0.001,0.001,0.001,-0.019,-0.074,0,-0.028,0.004,-0.019, 0000100044,28
1.3,47.0425855,0,40.9559153,0,55883.9257,1.385,0,0,0,0,0,0,0,0,0,0,0,2.144,0.001,0.007,0.001,99.999,9.999,-0.011,0.001,-0.001,0.001,-0.005,0.001,-0.029,-0.043,0,0.003,0.011,0, 0000100044,28
1.3,47.0425855,0,40.9559153,0,55883.9257,1.385,0,0,0,0,0,0,0,0,0,0,0,2.169,0.001,-0.027,0.001,99.999,9.999,0.014,0.001,-0.001,0.001,0.02,0.001,-0.029,-0.043,0,0.003,0.011,0, 0000100044,28
1.8,47.0428676,0,40.9557655,0,55883.9363,1.457,0,0,0,0,0,0,0,0,0,0,0,2.093,0.001,0.043,0.001,99.999,9.999,-0.023,0.002,-0.098,0.003,-0.143,0.002,0.199,-0.203,0,-0.185,-0.327,-0.506, 0000100044,28
1.8,47.0428676,0,40.9557655,0,55883.9363,1.456,0,0,0,0,0,0,0,0,0,0,0,2.117,0.001,0.04,0.001,99.999,9.999,0,0.002,-0.098,0.003,-0.12,0.002,0.199,-0.203,0,-0.185,-0.327,-0.506, 0000100044,28
1.2,47.0419488,0,40.9553831,0,55883.947,1.539,0,0,0,0,0,0,0,0,0,0,0,2.216,0.002,-0.062,0.003,99.999,9.999,0.145,0.002,-0.136,0.003,-0.026,0.003,0.681,-0.261,0,0.237,-0.261,-0.008, 0000100044,28
1.2,47.0419488,0,40.9553831,0,55883.947,1.539,0,0,0,0,0,0,0,0,0,0,0,2.454,0.002,-0.305,0.003,99.999,9.999,0.383,0.003,-0.136,0.003,0.209,0.003,0.681,-0.261,0,0.237,-0.261,-0.008, 0000100044,28
1.5,47.0423479,0,40.9552455,0,55883.9582,1.64,0,0,0,0,0,0,0,0,0,0,0,2.141,0.001,0.004,0.002,99.999,9.999,-0.008,0.002,0.015,0.002,-0.01,0.002,0.2,0.06,0,-0.108,-0.501,-0.61, 0000100044,28
0.5,47.0422375,0,40.9555034,0,55883.9659,1.735,0,0,0,0,0,0,0,0,0,0,0,3.901,0.005,-1.37,0.006,99.999,9.999,1.299,0.006,99.999,9.999,99.999,9.999,1.136,-0.203,0,0.239,-0.181,0.057, 0000100044,28
1,47.0425199,0,40.9554807,0,55883.9686,1.749,0,0,0,0,0,0,0,0,0,0,0,2.578,0.003,-0.01,0.004,99.999,9.999,-0.019,0.004,0.365,0.003,0.344,0.004,1.136,-0.203,0,0.239,-0.181,0.057, 0000100044,28
0.6,47.0424081,0,40.9557454,0,55883.9792,1.883,0,0,0,0,0,0,0,0,0,0,0,2.151,0.001,0.518,0.002,99.999,9.999,0.015,0.001,0.021,0.001,0.03,0.001,0.099,0.256,0,-0.037,0.107,0.072, 0000100044,28
0.3,47.0423511,0,40.9556456,0,55883.99,2.042,0,0,0,0,0,0,0,0,0,0,0,2.299,0.001,-0.028,0.002,99.999,9.999,0.033,0.002,0.225,0.002,0.24,0.002,0.173,-0.096,0,-0.068,-0.24,-0.297, 0000100002,28
3.8,47.0432962,0,40.9563427,0,55888.6363,1.222,0,0,0,0,0,0,0,0,0,0,0,2.084,0.001,-0.007,0.001,99.999,9.999,0.044,0.001,0.014,0.001,0.045,0.001,-0.004,-0.056,0,0.017,-0.01,0.015, 0000200007,28
3.6,47.0431723,0,40.9563552,0,55888.7138,1.033,0,0,0,0,0,0,0,0,0,0,0,2.064,0.001,0.027,0.001,99.999,9.999,99.999,9.999,99.999,9.999,0.009,0.001,-0.006,-0.048,0,-0.016,0.002,0.009, 0000801969,28
3.6,47.0431723,0,40.9563552,0,55888.7138,1.033,0,0,0,0,0,0,0,0,0,0,0,2.071,0.001,0.04,0.001,99.999,9.999,0.024,0.001,0.021,0.001,0.016,0.001,-0.006,-0.048,0,-0.016,0.002,0.009, 0000801969,28
1.7,47.0426127,0,40.956041,0,55888.7787,1.016,0,0,0,0,0,0,0,1,0,0,0,2.138,0.001,-0.008,0.001,99.999,9.999,0.014,0.001,0.035,0.001,0.015,0.001,-0.009,-0.049,0,0.003,-0.013,0.019, 0000200018,28
